period;total_words;nuovo;azienda;google;digitale;tecnologia;borsa;rischio;chatbot;robot;funzionare;dato;usare;applicazione;vaccino;covid;contage;umano;cambiare;microsoft;mercato;ricerca;volere;guida;creare;meta;vedere;metaverso;arrivare;innovazione;agosto;progetto;servire;impresa;settembre;europa;generare;sistema;cina;soluzione;sviluppo;opportunità;open_source;sicurezza;servizio;immagine;lancia;nvidia;piattaforma;legge;puntare;elon_musk;europeo;startup;smart;dall-e;dare;vantaggio;parlare;online;esempio;auto;settore;crescere;ottobre;potere;strumento;impatto;trasformare;privacy;euro;investimento;aiutare;video;apple;approccio;nascere;portare;app;tech;sapere;smartphone;ai_act;autonoma;scrivere
2023 - 1;2527;0.008705975;0.006331619;0.008310249;0.004352988;0.003165809;0.001978631;0.003561535;0.007123071;0.003957262;0.001582905;0.003561535;0.003957262;0.002374357;0.000395726;0.000395726;0.000395726;0.001978631;0.003957262;0.007123071;0.001582905;0.005935892;0.002770083;0.001978631;0.003561535;0.001582905;0.001187178;0.001582905;0.003165809;0.002374357;0;0.002374357;0.001978631;0.000791452;0;0.002374357;0.002770083;0.000791452;0.002770083;0.002770083;0.002374357;0.000791452;0.000791452;0.000791452;0.002374357;0.001582905;0.004748714;0.001582905;0.001978631;0.000395726;0.001187178;0.000395726;0.000791452;0.001978631;0.000791452;0.000791452;0.001582905;0.001978631;0.001187178;0.001582905;0.000395726;0.001978631;0.001582905;0;0;0.001187178;0.000791452;0.000395726;0.000791452;0.003957262;0.001582905;0.001187178;0.001187178;0.000395726;0.000791452;0.000791452;0.002374357;0.001582905;0.002374357;0.003165809;0.001978631;0.000791452;0.000791452;0.001582905;0.003957262
2023 - 2;3741;0.00748463;0.006682705;0.006148089;0.003207698;0.003207698;0.002405774;0.006950013;0.002673082;0.003207698;0.003207698;0.004276931;0.004276931;0.000267308;0.000534616;0.000267308;0.000267308;0.00294039;0.003475007;0.003207698;0.001871157;0.00294039;0.00294039;0.002405774;0.003742315;0.003742315;0.000534616;0.000801925;0.002138466;0.001069233;0;0.000534616;0.001336541;0.001871157;0;0.002405774;0.003475007;0.002673082;0.002673082;0.001069233;0.00294039;0.000801925;0;0.001069233;0.001603849;0.003207698;0.00294039;0.003207698;0.001871157;0.001336541;0.001069233;0.000801925;0.002673082;0.000267308;0;0.001871157;0.001603849;0.000534616;0.001336541;0.001336541;0;0.000801925;0.002138466;0.001336541;0;0.001603849;0.002138466;0.000801925;0.000267308;0.004811548;0.001603849;0.001336541;0.001069233;0.001871157;0.001336541;0;0.001603849;0.000801925;0.002405774;0.002405774;0.001069233;0.000534616;0.00294039;0.000801925;0.00294039
2022 - 2;15284;0.004449097;0.002093693;0.001897409;0.000588851;0.006150222;0;0.002420832;0.004318241;0.003205967;0.000327139;0.001635697;0.000261712;0.001831981;0;6.54E-05;0;0.002944255;0.000196284;0.000196284;0.000457995;0.000981418;0.000981418;0.00157027;0.001831981;6.54E-05;0.000785135;0.000457995;6.54E-05;0.000327139;0.000130856;0.000785135;0.000261712;0.000196284;6.54E-05;0.000719707;0.002159121;0.001962837;0.000654279;0.000261712;0.000261712;0.000261712;0;0.00157027;0.000719707;0.001962837;0.000130856;0.000523423;0.000196284;0.001373986;0;0.002224549;0.000130856;0;0.000130856;0.000588851;0.00124313;0;0.001439414;0;0.000130856;0.000719707;0.000588851;0.000523423;6.54E-05;0.001373986;0.000130856;0.000392567;0.000392567;0.000261712;0.000130856;0.000457995;0.000130856;0.001112274;0;0.000261712;0;0.000457995;0;6.54E-05;0.000261712;0.000261712;6.54E-05;0.000130856;0.00157027
2023 - 4;5578;0.009860165;0.005916099;0.00250986;0.002689136;0.002330584;0.002330584;0.00250986;0.004481893;0.001613482;0.001434206;0.004481893;0.003047687;0.001075654;0.000537827;0.000537827;0.000537827;0.00250986;0.002330584;0.002689136;0.005736823;0.002151309;0.002330584;0.002151309;0.002151309;0.000537827;0.000358551;0;0.001972033;0.001613482;0.000179276;0.00125493;0.000896379;0.002151309;0;0.002151309;0.00125493;0.001075654;0.00250986;0.004481893;0.00125493;0.000717103;0.000179276;0.001434206;0.001972033;0.00125493;0.000896379;0.000717103;0.000537827;0.001434206;0.000896379;0.002151309;0.001075654;0.001972033;0.00125493;0.001792757;0.000896379;0.001075654;0.000358551;0.000358551;0;0.001434206;0.001613482;0.000896379;0.001075654;0.001792757;0.000717103;0.000358551;0.000537827;0.000896379;0.003406239;0.000179276;0.001613482;0.001075654;0.000537827;0.000537827;0.000537827;0.001792757;0.000896379;0.000896379;0.000717103;0.001075654;0.001792757;0.000358551;0.000358551
2024 - 4;4105;0.00998782;0.005846529;0.007064555;0.005359318;0.002436054;0.000243605;0.001948843;0.001948843;0.004872107;0.001948843;0.002923264;0.002679659;0.000487211;0;0;0;0.001461632;0.001218027;0.001948843;0.004384896;0.004141291;0.004628502;0.000974421;0.001461632;0.001948843;0.000243605;0;0.001948843;0.004384896;0;0.004141291;0.001218027;0.002923264;0;0.002192448;0.002192448;0.002192448;0.004141291;0.001705238;0.000730816;0.000974421;0.001461632;0.001461632;0.004141291;0.001461632;0.003410475;0.00365408;0.000730816;0.000487211;0.004872107;0.000974421;0.002192448;0.002192448;0.001218027;0.000487211;0.001461632;0;0.000974421;0.000487211;0;0.000974421;0.002436054;0.001461632;0.002923264;0.001461632;0.005359318;0.000243605;0.004141291;0.000730816;0.004384896;0.002192448;0.001218027;0.002436054;0.000487211;0.000243605;0.001218027;0.002923264;0.001218027;0.001218027;0.001461632;0.001948843;0.000487211;0;0
2024 - 3;4142;0.009174312;0.006760019;0.004104297;0.008208595;0.003621439;0.000724288;0.002414293;0.001448576;0.001207146;0.002414293;0.001448576;0.004345727;0.001931434;0;0;0;0.000724288;0.007001449;0.001690005;0.002897151;0.004587156;0.002897151;0.001690005;0.002172863;0.002414293;0.000241429;0;0.00338001;0.002655722;0.001448576;0.001207146;0.001690005;0.001931434;0.002655722;0.00338001;0.001690005;0.001690005;0.001690005;0.002172863;0.001448576;0.000965717;0.000724288;0.002172863;0.001448576;0.001931434;0.000965717;0.00313858;0.000241429;0.004345727;0.00651859;0.000482859;0.00313858;0.001690005;0.001207146;0.000965717;0.00313858;0.002172863;0.000965717;0.000724288;0;0.001931434;0.000724288;0.002414293;0;0.001690005;0.001931434;0.000482859;0.000965717;0.000724288;0.000965717;0.001931434;0.000965717;0.000965717;0.003621439;0.000482859;0.000482859;0.000965717;0.001207146;0.001690005;0.001931434;0.002897151;0.001448576;0;0.000482859
2023 - 3;3275;0.008549618;0.005801527;0.00519084;0.002748092;0.002442748;0.007938931;0.004274809;0.003969466;0.002748092;0.004274809;0.006717557;0.003053435;0.001832061;0.001832061;0.001832061;0.001832061;0.003358779;0.003664122;0.003969466;0.000916031;0.001221374;0.004274809;0.003053435;0.004274809;0.004885496;0.001526718;0.000916031;0.003969466;0.001221374;0.004274809;0.000916031;0.001221374;0.002748092;0.00519084;0.001526718;0.001832061;0.001832061;0.003053435;0.002137405;0.001832061;0.003358779;0.001526718;0.001832061;0.002137405;0.001832061;0.003358779;0.000305344;0.000305344;0.000305344;0.000916031;0.003053435;0.001221374;0.002137405;0;0.001832061;0.002137405;0.001221374;0.002442748;0.000610687;0;0.000916031;0.002137405;0.001221374;0.000610687;0.003969466;0.001221374;0.001526718;0.001221374;0.002137405;0.000610687;0.001526718;0.001526718;0.001526718;0.001526718;0.000610687;0.001526718;0.002748092;0.000610687;0.001526718;0.002137405;0.000610687;0.000610687;0.001221374;0.001526718
2024 - 2;4123;0.012369634;0.00266796;0.003638128;0.005578462;0.001697793;0.000727626;0.002425418;0.001940335;0.002182877;0.003638128;0.00266796;0.003395586;0.004850837;0;0;0;0.001940335;0.004608295;0.003880669;0.001697793;0.002425418;0.002425418;0.002425418;0.001940335;0.002910502;0.000485084;0.000485084;0.001940335;0.000727626;0;0.000970167;0.002910502;0.002910502;0;0.00266796;0.003153044;0.000970167;0.000970167;0.001697793;0.000727626;0.001940335;0.000485084;0.002182877;0.000485084;0.001455251;0.001212709;0.00266796;0.000242542;0.001455251;0.001212709;0.001697793;0.004123211;0.001940335;0.000970167;0.001455251;0.000970167;0.000242542;0.002425418;0.000970167;0;0.001940335;0.00266796;0.001697793;0;0.001212709;0.001212709;0.002425418;0.000970167;0.000970167;0.001212709;0.001455251;0.001212709;0.001212709;0.004123211;0.000485084;0.001455251;0.001455251;0.001940335;0.001455251;0.001697793;0.000242542;0.001697793;0.000970167;0.000485084
2022 - 3;1613;0.010539368;0.003719777;0.005579665;0.003719777;0.003099814;0.016738996;0.002479851;0.001859888;0.005579665;0.005579665;0.001239926;0.004959702;0.001859888;0.024798512;0.024798512;0.024798512;0.003099814;0.001859888;0;0.00433974;0.003099814;0.000619963;0.001859888;0.002479851;0.006819591;0.003099814;0.005579665;0.001859888;0.002479851;0.019218847;0.002479851;0;0.002479851;0.016738996;0.000619963;0.000619963;0.002479851;0.002479851;0.001859888;0.001239926;0;0.014879107;0;0.003099814;0.001859888;0.000619963;0.002479851;0.001239926;0.000619963;0.001239926;0;0.001239926;0.001239926;0.003719777;0.005579665;0.001859888;0.001239926;0.002479851;0;0;0.003099814;0.001859888;0.002479851;0.000619963;0.000619963;0.001239926;0.000619963;0.001239926;0;0.000619963;0.003099814;0.003719777;0.000619963;0.000619963;0.000619963;0.002479851;0.000619963;0.000619963;0.000619963;0;0;0.000619963;0.001859888;0.001239926
2024 - 1;4096;0.011230469;0.004638672;0.006347656;0.005371094;0.004150391;0.001464844;0.001953125;0.003173828;0.001953125;0.001708984;0.002685547;0.004638672;0.000976563;0.000488281;0.000488281;0.000488281;0.003662109;0.00390625;0.006591797;0.002197266;0.001953125;0.003417969;0.002441406;0.003662109;0.001220703;0.001220703;0;0.002929688;0.002685547;0;0.002441406;0.002441406;0.003173828;0;0.002441406;0.000976563;0.001953125;0.001464844;0.000732422;0.000976563;0.005126953;0.000976563;0.002685547;0.001708984;0.001953125;0.001220703;0.002441406;0.000976563;0.001708984;0.001220703;0.005859375;0.001220703;0.001464844;0.000732422;0;0.000976563;0;0.000732422;0.001220703;0;0.001464844;0.000732422;0.001464844;0;0.001464844;0.000976563;0.001464844;0.001220703;0.001220703;0.001708984;0.002197266;0.001464844;0.002685547;0.002929688;0;0.001953125;0.000976563;0.001953125;0.001953125;0.001464844;0.002441406;0.003173828;0.000244141;0.000488281
2022 - 4;1891;0.007932311;0.002644104;0.004759387;0.00740349;0.002644104;0.008989952;0.003172924;0.000528821;0.004759387;0.001586462;0.004759387;0.001586462;0.000528821;0.006874669;0.006874669;0.006874669;0.004230566;0.002115283;0.002644104;0.002644104;0.002115283;0.003172924;0.003701745;0.002115283;0.003172924;0.001586462;0.000528821;0.003172924;0.003701745;0;0.002115283;0.002115283;0.003701745;0;0.001057641;0.004230566;0.003701745;0.001586462;0.001586462;0.003172924;0.001057641;0.000528821;0.003172924;0.001586462;0.002644104;0.001586462;0;0.003172924;0.000528821;0.000528821;0.001586462;0.001057641;0.003701745;0.002644104;0.003172924;0.002644104;0.001057641;0.001057641;0.002115283;0;0;0.001586462;0.001586462;0.012691698;0.001586462;0.001586462;0.002644104;0.002115283;0.001057641;0.000528821;0.001057641;0.002115283;0.002115283;0;0;0.002115283;0.001057641;0.002115283;0;0.002115283;0.001057641;0.001057641;0.001586462;0.001586462
2022 - 1;339;0.008849558;0.002949853;0;0;0.008849558;0;0.005899705;0.005899705;0.002949853;0.008849558;0;0;0.017699115;0;0;0;0.005899705;0;0;0.002949853;0;0;0.005899705;0;0;0.017699115;0.017699115;0;0.002949853;0;0.005899705;0.008849558;0;0;0.002949853;0;0.002949853;0;0.002949853;0.005899705;0.005899705;0;0.002949853;0;0;0;0;0.008849558;0.005899705;0;0;0;0;0.005899705;0;0;0.008849558;0.002949853;0.008849558;0.017699115;0.002949853;0;0.002949853;0;0;0;0.005899705;0.002949853;0;0;0;0;0;0;0.01179941;0;0;0;0;0;0.002949853;0;0.005899705;0
